site_name,pub_hosp_ind,current_peer_group,lat,long,cluster
Omeo District Health,Public,Very small hospitals,-37.0983225,147.5971753,4
University Hospital Geelong,Public,Principal referral hospitals,-38.15207995,144.3656095,9
Central Gippsland Health Service [Sale],Public,Public acute group A hospitals,-38.1087087,147.0807837,4
Ballarat Health Services [Queen Elizabeth Campus],Public,Mixed sub- & non-acute hospitals,-37.56388494,143.8433504,7
Caritas Christi Hospice Ltd [Kew],Public,Mixed sub- & non-acute hospitals,-37.80426689,145.0156356,3
Casterton Memorial Hospital,Public,Public acute group D hospitals,-37.590451,141.3923575,6
OConnell Family Centre (Grey Sisters) Inc. [Canterbury],Public,Early parenting centres,-37.81638965,145.0619489,3
Dandenong Campus,Public,Public acute group A hospitals,-37.9209768,145.4066422,11
"Peter James Centre, The [East Burwood]",Public,Mixed sub- & non-acute hospitals,-37.85224207,145.1641717,5
Cohuna District Hospital,Public,Public acute group C hospitals,-35.800084150000004,144.2147561,2
Coleraine District Health Services,Public,Very small hospitals,-37.59957036,141.6928741,6
Corryong Health,Public,Public acute group D hospitals,-36.1987616,147.9030593,10
South West Healthcare [Warrnambool],Public,Public acute group A hospitals,-38.3793695,142.4730481,6
Wimmera Base Hospital [Horsham],Public,Public acute group C hospitals,-36.7126078,142.208892,7
Dimboola District Hospital,Public,Public acute group D hospitals,-36.44965216,142.0243441,7
Echuca Regional Health,Public,Public acute group C hospitals,-36.1383559,144.7475593,2
Seymour Health,Public,Public acute group C hospitals,-37.01842405,145.1386762,3
Frankston Hospital,Public,Public acute group A hospitals,-38.15078965,145.1281521,12
Beaufort & Skipton Health Service [Skipton],Public,Very small hospitals,-37.66736254,143.3668472,7
Kerang District Health,Public,Public acute group C hospitals,-35.72381215,143.9180826,2
Korumburra Hospital,Public,Public acute group C hospitals,-38.43021616,145.8277962,4
Leongatha Memorial Hospital,Public,Public acute group C hospitals,-38.4873513,145.9503864,4
Stawell Regional Health,Public,Public acute group C hospitals,-37.05923414,142.7816181,7
Womens Sandringham,Public,Women's hospitals,-37.96082458,145.017661,1
Mildura Base Public Hospital,Public,Public acute group A hospitals,-34.18624035,142.1430567,13
Wantirna Health,Public,Mixed sub- & non-acute hospitals,-37.8486179,145.2255928,5
Heywood Rural Health,Public,Very small hospitals,-38.1379457,141.624074,6
Timboon & District Healthcare Service,Public,Public acute group D hospitals,-38.4860745,142.9764969,6
West Wimmera Health Service [Jeparit],Public,Very small hospitals,-36.14096005,141.9848672,7
West Wimmera Health Service [Kaniva],Public,Very small hospitals,-36.38096953,141.2460931,7
West Wimmera Health Service [Nhill],Public,Public acute group C hospitals,-36.33411525,141.6558138,7
